row_id,index,series_id,step,event,score
0,0,03d92c9f6f8a,1,onset,1.819183
1,1,03d92c9f6f8a,6,onset,3.4631312
2,2,03d92c9f6f8a,24,onset,3.304858
3,3,03d92c9f6f8a,15,onset,49.865414
4,4,03d92c9f6f8a,18,onset,58.837048
5,5,03d92c9f6f8a,21,onset,14.563349
6,6,03d92c9f6f8a,24,onset,15.14627
7,7,03d92c9f6f8a,27,onset,15.14627
8,8,03d92c9f6f8a,30,onset,15.14627
9,9,03d92c9f6f8a,33,onset,15.14627
10,10,03d92c9f6f8a,36,onset,7.402013
11,11,03d92c9f6f8a,39,onset,24.381409
12,12,03d92c9f6f8a,42,onset,12.819092
13,13,03d92c9f6f8a,45,onset,18.14451
14,14,03d92c9f6f8a,48,onset,28.292557
15,15,03d92c9f6f8a,51,onset,64.8361
16,16,03d92c9f6f8a,54,onset,59.579384
17,17,03d92c9f6f8a,57,onset,11.177876
18,18,03d92c9f6f8a,60,onset,11.154851
19,19,03d92c9f6f8a,63,onset,11.085307
20,20,03d92c9f6f8a,66,onset,11.085307
21,21,03d92c9f6f8a,72,onset,17.144676
22,22,03d92c9f6f8a,75,onset,19.890404
23,23,03d92c9f6f8a,78,onset,21.761703
24,24,03d92c9f6f8a,81,onset,22.647284
25,25,03d92c9f6f8a,84,onset,28.091797
26,26,03d92c9f6f8a,87,onset,24.677095
27,27,03d92c9f6f8a,90,onset,23.984018
28,28,03d92c9f6f8a,93,onset,24.896425
29,29,03d92c9f6f8a,96,onset,29.311922
30,30,03d92c9f6f8a,99,onset,29.77326
31,31,03d92c9f6f8a,102,onset,41.861217
32,32,03d92c9f6f8a,105,onset,39.141754
33,33,03d92c9f6f8a,108,onset,38.72565
34,34,03d92c9f6f8a,111,onset,38.25857
35,35,03d92c9f6f8a,114,onset,40.335663
36,36,03d92c9f6f8a,120,onset,10.008693
37,37,03d92c9f6f8a,123,onset,32.847343
38,38,03d92c9f6f8a,126,onset,32.85645
39,39,03d92c9f6f8a,129,onset,11.605898
40,40,03d92c9f6f8a,132,onset,0.7725548
41,41,03d92c9f6f8a,135,onset,19.363987
42,42,03d92c9f6f8a,138,onset,16.033741
43,43,03d92c9f6f8a,141,onset,11.820421
44,44,03d92c9f6f8a,144,onset,42.587738
45,45,03d92c9f6f8a,147,onset,42.587738
46,46,03d92c9f6f8a,150,onset,42.587738
47,47,03d92c9f6f8a,153,onset,42.44546
48,48,03d92c9f6f8a,156,onset,53.233047
49,49,03d92c9f6f8a,159,onset,11.323887
50,50,03d92c9f6f8a,8586,onset,7.7888083
51,51,03d92c9f6f8a,110,onset,0.1649104
52,52,03d92c9f6f8a,168,onset,4.8234186
53,53,03d92c9f6f8a,171,onset,8.650917
54,54,03d92c9f6f8a,174,onset,6.3396497
55,55,03d92c9f6f8a,177,onset,5.4950285
56,56,03d92c9f6f8a,300,onset,3.7364216
57,57,03d92c9f6f8a,3355,onset,26.96134
58,58,03d92c9f6f8a,9135,onset,14.771097
59,59,03d92c9f6f8a,192,onset,5.610796
60,60,03d92c9f6f8a,65,onset,1.8337649
61,61,03d92c9f6f8a,330,onset,6.5559435
62,62,03d92c9f6f8a,201,onset,5.6098022
63,63,03d92c9f6f8a,7548,onset,16.45202
64,64,03d92c9f6f8a,207,onset,7.240922
65,65,03d92c9f6f8a,210,onset,1.4168983
66,66,03d92c9f6f8a,11218,onset,19.646912
67,67,03d92c9f6f8a,216,onset,19.801727
68,68,03d92c9f6f8a,222,onset,5.7022634
69,69,03d92c9f6f8a,8850,onset,6.420411
70,70,03d92c9f6f8a,228,onset,2.549916
71,71,03d92c9f6f8a,231,onset,4.1328444
72,72,03d92c9f6f8a,234,onset,19.331821
73,73,03d92c9f6f8a,79,onset,0.63451165
74,74,03d92c9f6f8a,1280,onset,9.260364
75,75,03d92c9f6f8a,243,onset,13.216714
76,76,03d92c9f6f8a,246,onset,9.089362
77,77,03d92c9f6f8a,249,onset,3.4240353
78,78,03d92c9f6f8a,255,onset,14.4731
79,79,03d92c9f6f8a,258,onset,5.352623
80,80,03d92c9f6f8a,261,onset,8.92346
81,81,03d92c9f6f8a,176,onset,0.17131844
82,82,03d92c9f6f8a,445,onset,2.4592278
83,83,03d92c9f6f8a,180,onset,2.280158
84,84,03d92c9f6f8a,276,onset,7.5213537
85,85,03d92c9f6f8a,12369,onset,15.556751
86,86,03d92c9f6f8a,285,onset,4.705177
87,87,03d92c9f6f8a,288,onset,4.798953
88,88,03d92c9f6f8a,291,onset,14.507101
89,89,03d92c9f6f8a,306,onset,7.996152
90,90,03d92c9f6f8a,103,onset,0.7668279
91,91,03d92c9f6f8a,318,onset,6.9590764
92,92,03d92c9f6f8a,321,onset,6.1936765
93,93,03d92c9f6f8a,330,onset,21.858252
94,94,03d92c9f6f8a,333,onset,5.520094
95,95,03d92c9f6f8a,336,onset,7.892459
96,96,03d92c9f6f8a,339,onset,9.143045
